Cena;Objeto;Texto Original (PT);Traducao (EN);Key sugerida
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Break;Travão;;travao
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Pausa;Pausa;;pausa
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Speed;Velocidade;;velocidade
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Mover;Mover;;mover
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Break;Travão;;travao
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Pausa;Pausa;;pausa
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Speed;Velocidade;;velocidade
MainMenu;PlayerManager/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Mover;Mover;;mover
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/Header/SubTitle;Escolhe um nível para ver as tentativas de <color=#FCD34D>teste 4</color>;;escolhe_um_nivel_para_ver_as_t
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/InputEditName/Text Area/Text;​;;
MainMenu;Canvas_VR/HistoryAttemptsPanel_VR/Header/PatientBadge/Txt_PatientName;placeholder;;placeholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel4/AttemptsText;3 tentativas;;3_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level4/Text (TMP);4;;4
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/ButtonsContainer/Btn_Exit/Text (TMP);Sair;;sair
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/ButtonsContainer/Btn_UnlockAll/Text (TMP);Desbloquar Tudo;;desbloquar_tudo
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/NewProfileSection/InputField_NewProfileID/Text Area/Placeholder;Digite o ID do novo utilizador;;digite_o_id_do_novo_utilizador
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level1/Text (TMP);1;;1
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel3/Number;Level 3;;level_3
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel4/Number;4;;4
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/Btn_HistFreestyle/Label_Mode;MODO LIVRE — 5 sessões registadas;;modo_livre_5_sessoes_registada
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel9/Number;9;;9
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/NewProfileSection/InputField_ProfileID/Text Area/Text;​;;
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/NewProfileSection/InputField_ProfileID/Text Area/Placeholder;Enter text...;;enter_text
MainMenu;Canvas_VR/HistoryProfileSelectorPanel_VR/HistoryProfilesList/Viewport/Content/BtnHistProfileTemplate/Text (TMP);Button;;button
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level10/Text (TMP);10;;10
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel7/AttemptsText;3 tentativas;;3_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel2/Number;Level 2;;level_2
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryAttemptsPanel/Header/AttemptsCount;5 tentativas placeholder;;5_tentativas_placeholder
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/Header/Title;HISTÓRICO DE SESSÕES;;historico_de_sessoes
MainMenu;Canvas_VR/HistoryAttemptsPanel_VR/Header/LevelTitle;lvlplaceholder;;lvlplaceholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel7/Number;Level 7;;level_7
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level6/Text (TMP);6;;6
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryAttemptsPanel/Header/LevelTitle;New Text;;new_text
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/NewProfileSection/Label_NewProfile;CRIAR NOVO PERFIL;;criar_novo_perfil
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel10/Number;Level 10;;level_10
MainMenu;Canvas_VR/LevelSelectionPanel_VR/SteeringSelectionGroup /Label_Steering;MODO DE DIREÇÃO;;modo_de_direcao
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_LoginProfile/Text (TMP);placeholder;;placeholder
MainMenu;Canvas_VR/HistoryAttemptsPanel_VR/Header/AttemptsCount;5 tentativas placeholder;;5_tentativas_placeholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level1/Text (TMP);1;;1
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel9/AttemptsText;3 tentativas;;3_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryAttemptsPanel/Btn_BackToHistLevels/Text (TMP);Voltar;;voltar
MainMenu;Canvas_VR/HistoryProfileSelectorPanel_VR/Header/SubTitle;Selecione o ID para consultar;;selecione_o_id_para_consultar
MainMenu;Canvas_VR/LevelSelectionPanel_VR/SteeringSelectionGroup /ToggleButtonsRow/Btn_SteeringRear/Text (TMP);Traseira;;traseira
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel7/Number;7;;7
MainMenu;Canvas_VR/HistoryProfileSelectorPanel_VR/Btn_BackToLogin/Text (TMP);← Voltar ao login;;voltar_ao_login
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/Btn_HistFreestyle /TextBlock/Label_Count;5 sessoes registadas;;5_sessoes_registadas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel5/AttemptsText;3 tentativas;;3_tentativas
MainMenu;Canvas_VR/LevelSelectionPanel_VR/Header/ProfileBadge/Txt_CurrentProfile;placeholder;;placeholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel6/Number;Level 6;;level_6
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel2/AttemptsText;3 tentativas;;3_tentativas
MainMenu;Canvas_VR/LevelSelectionPanel_VR/Btn_Freestyle/Label_Mode;MODO LIVRE — Explora a cidade;;modo_livre_explora_a_cidade
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/Header/SubTitle;Selecione o seu perfil ou crie um novo;;selecione_o_seu_perfil_ou_crie
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/Btn_Exit/Text (TMP);Sair;;sair
MainMenu;Canvas_VR/LevelSelectionPanel_VR/ButtonsContainer/Btn_BackToProfile/Text (TMP);Mudar Perfil;;mudar_perfil
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_EditProfile/Text (TMP);Editar;;editar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level6/Text (TMP);6;;6
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/InputEditName/Text Area/Placeholder;Enter text...;;enter_text
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_DeleteProfile/Text (TMP);Apagar;;apagar
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel5/Number;5;;5
MainMenu;Canvas_VR/ConfirmDeletePanel_VR/Card/Txt_ConfirmMessage;Tem a certeza que quer apagar este perfil?;;tem_a_certeza_que_quer_apagar
MainMenu;Canvas_VR/LevelSelectionPanel_VR/SteeringSelectionGroup /ToggleButtonsRow/Btn_SteeringFront/Text (TMP);Frontal;;frontal
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level7/Text (TMP);7;;7
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/Header/Title;Acesso ao sistema;;acesso_ao_sistema
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryProfileSelectorPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnHistProfileTemplate/Btn_SelectProfile/Text (TMP);placeholder;;placeholder
MainMenu;Canvas_VR/LevelSelectionPanel_VR/ButtonsContainer/Btn_UnlockAll/Text (TMP);Desbloquear Tudo;;desbloquear_tudo
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel4/Number;Level 4;;level_4
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel5/AttemptsText;88 tentativas;;88_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel9/Number;Level 9;;level_9
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel3/AttemptsText;88 tentativas;;88_tentativas
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level4/Text (TMP);4;;4
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level2/Text (TMP);2;;2
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel1/Number;1;;1
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryAttemptsPanel/Header/PatientBadge/Txt_PatientName;placeholder;;placeholder
MainMenu;Canvas_VR/HistoryAttemptsPanel_VR/Btn_BackToHistLevels/Text (TMP);Voltar;;voltar
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level2/Text (TMP);2;;2
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ConfirmDeletePanel/Card/Txt_ConfirmMessage;Tem a certeza que quer apagar este perfil?;;tem_a_certeza_que_quer_apagar
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/NewProfileSection/Btn_CreateProfile/Text (TMP);+ Criar e entrar;;criar_e_entrar
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel4/AttemptsText;88 tentativas;;88_tentativas
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/InputEditName/Text Area/Placeholder;Enter text...;;enter_text
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/Btn_HistFreestyle /TextBlock/Label_Mode;MODO LIVRE;;modo_livre
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level3/Text (TMP);3;;3
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryProfileSelectorPanel/Header/Title;HISTÓRICO DE SESSÕES;;historico_de_sessoes
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ConfirmDeletePanel/Card/ButtonsRow/Btn_ConfirmYes /Text (TMP);Apagar;;apagar
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level10/Text (TMP);10;;10
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/Header/ProfileBadge/Txt_CurrentProfile;placeholder;;placeholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/Btn_CloseHistory/Text (TMP);Voltar;;voltar
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level9/Text (TMP);9;;9
MainMenu;Canvas_VR/LevelSelectionPanel_VR/ButtonsContainer/Btn_Reset/Text (TMP);Apagar Progresso;;apagar_progresso
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/ButtonsContainer/Btn_Reset/Text (TMP);Apagar Progresso;;apagar_progresso
MainMenu;Canvas_VR/ConfirmDeletePanel_VR/Card/ButtonsRow/Btn_ConfirmNo/Text (TMP);Cancelar;;cancelar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel5/Number;Level 5;;level_5
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level5/Text (TMP);5;;5
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/Header/SubTitle;Identifique-se para começar;;identifique_se_para_comecar
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/Btn_CloseHistory/Text (TMP);Voltar;;voltar
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel10/Number;10;;10
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_LoginProfile/Text (TMP);Placeholder;;placeholder
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/ButtonsContainer/Btn_BackToProfile/Text (TMP);← Voltar ao perfil;;voltar_ao_perfil
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel3/Number;3;;3
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel8/Number;8;;8
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/Header/SubTitle;Escolha um nível;;escolha_um_nivel
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_DeleteProfile/Text (TMP);Apagar;;apagar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/Btn_ViewHistory/Text (TMP);Ver Histórico;;ver_historico
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel6/Number;6;;6
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel2/AttemptsText;88 tentativas;;88_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level9/Text (TMP);9;;9
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/Label_ExistingProfiles;PERFIS EXISTENTES;;perfis_existentes
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/Btn_Freestyle/Label_Freestyle;MODO LIVRE - Explora a cidade;;modo_livre_explora_a_cidade
MainMenu;Canvas_VR/HistoryProfileSelectorPanel_VR/Header/Title;HISTÓRICO DE SESSÕES;;historico_de_sessoes
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level8/Text (TMP);8;;8
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/Btn_ViewHistory/Text (TMP);Ver histórico;;ver_historico
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel6/AttemptsText;3 tentativas;;3_tentativas
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel8/AttemptsText;88 tentativas;;88_tentativas
MainMenu;Canvas_VR/LevelSelectionPanel_VR/Header/Titulo;SIMULADOR DE CADEIRA DE RODAS;;simulador_de_cadeira_de_rodas
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel7/AttemptsText;88 tentativas;;88_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel10/AttemptsText;3 tentativas;;3_tentativas
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/NewProfileSection/InputField_NewProfileID/Text Area/Text;​;;
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/InputEditName/Text Area/Text;​;;
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level7/Text (TMP);7;;7
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level8/Text (TMP);8;;8
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/NewProfileSection/Label_NewProfile;CRIAR NOVO PERFIL;;criar_novo_perfil
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel8/AttemptsText;3 tentativas;;3_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel8/Number;Level 8;;level_8
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/Header/Title;ACESSO AO SISTEMA;;acesso_ao_sistema
MainMenu;Canvas_VR/LevelSelectionPanel_VR/GridLevelsContainer/Btn_Level3/Text (TMP);3;;3
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ConfirmDeletePanel/Card/ButtonsRow/Btn_ConfirmNo /Text (TMP);Cancelar;;cancelar
MainMenu;Canvas_VR/HistoryAttemptsPanel_VR/Scroll_History/Viewport/Content/Txt_HistoryDetails;New Text;;new_text
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryProfileSelectorPanel/ExistingProfilesSection/Label_ExistingProfiles;PERFIS;;perfis
MainMenu;Canvas_VR/ConfirmDeletePanel_VR/Card/ButtonsRow/Btn_ConfirmYes/Text (TMP);Apagar;;apagar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/ExistingProfilesSection/ProfilesList/Viewport/Content/BtnProfileTemplate/Btn_EditProfile/Text (TMP);Editar;;editar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/NewProfileSection/Btn_Login/Text (TMP);Entrar / Criar Perfil;;entrar_criar_perfil
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel2/Number;2;;2
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/Header/Title;HISTÓRICO DE SESSÕES;;historico_de_sessoes
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/Header/Titulo;SIMULADOR DE CADEIRA DE RODAS;;simulador_de_cadeira_de_rodas
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel10/AttemptsText;88 tentativas;;88_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/ProfileSelectionPanel/Separator/Label_Hist;Consultar histórico;;consultar_historico
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel1/Number;Level 1;;level_1
MainMenu;Canvas_VR/ProfileSelectionPanel_VR/ExistingProfilesSection/Label_ExistingProfiles;PERFIS EXISTENTES;;perfis_existentes
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel6/AttemptsText;88 tentativas;;88_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryProfileSelectorPanel/Btn_BackFromHistorySelector/Text (TMP);← Voltar;;voltar
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryProfileSelectorPanel/Header/SubTitle;Seleciona o perfil para consultar;;seleciona_o_perfil_para_consul
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel1/AttemptsText;3 tentativas;;3_tentativas
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/HistoryLevelsPanel/HistoryGridContainer /Btn_HistLevel3/AttemptsText;3 tentativas;;3_tentativas
MainMenu;Canvas_VR/LevelSelectionPanel_VR/ButtonsContainer/Btn_Exit/Text (TMP);Sair;;sair
MainMenu;PlayerManager/Wheelchair_PC/Canvas_PC/LevelSelectionPanel/GridLevelsContainer/Btn_Level5/Text (TMP);5;;5
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel1/AttemptsText;88 tentativas;;88_tentativas
MainMenu;Canvas_VR/HistoryLevelsPanel_VR/HistoryGridContainer/Btn_HistLevel9/AttemptsText;88 tentativas;;88_tentativas
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Btn_Restart/TextResume;REINICIAR;;reiniciar
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Txt_HazardWarning;MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Icon_Warning;!;;
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextSlides;Deslizes: 0;;deslizes_0
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator (1);|;;
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextCollisions;Colisões: 0;;colisoes_0
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator;|;;
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextTime;00:00;;0000
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level1;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Restart/TextMenu;REINICIAR;;reiniciar
