Texto Original (PT);Traducao (EN);Key sugerida
Travão;;travao
Pausa;;pausa
Velocidade;;velocidade
Mover;;mover
Escolhe um nível para ver as tentativas de <color=#FCD34D>teste 4</color>;;escolhe_um_nivel_para_ver_as_t
​;;
placeholder;;placeholder
3 tentativas;;3_tentativas
4;;4
Sair;;sair
Desbloquar Tudo;;desbloquar_tudo
Digite o ID do novo utilizador;;digite_o_id_do_novo_utilizador
1;;1
Level 3;;level_3
MODO LIVRE — 5 sessões registadas;;modo_livre_5_sessoes_registada
9;;9
Enter text...;;enter_text
Button;;button
10;;10
Level 2;;level_2
5 tentativas placeholder;;5_tentativas_placeholder
HISTÓRICO DE SESSÕES;;historico_de_sessoes
lvlplaceholder;;lvlplaceholder
Level 7;;level_7
6;;6
New Text;;new_text
CRIAR NOVO PERFIL;;criar_novo_perfil
Level 10;;level_10
MODO DE DIREÇÃO;;modo_de_direcao
Voltar;;voltar
Selecione o ID para consultar;;selecione_o_id_para_consultar
Traseira;;traseira
7;;7
← Voltar ao login;;voltar_ao_login
5 sessoes registadas;;5_sessoes_registadas
Level 6;;level_6
MODO LIVRE — Explora a cidade;;modo_livre_explora_a_cidade
Selecione o seu perfil ou crie um novo;;selecione_o_seu_perfil_ou_crie
Mudar Perfil;;mudar_perfil
Editar;;editar
Apagar;;apagar
5;;5
Tem a certeza que quer apagar este perfil?;;tem_a_certeza_que_quer_apagar
Frontal;;frontal
Acesso ao sistema;;acesso_ao_sistema
Desbloquear Tudo;;desbloquear_tudo
Level 4;;level_4
88 tentativas;;88_tentativas
Level 9;;level_9
2;;2
+ Criar e entrar;;criar_e_entrar
MODO LIVRE;;modo_livre
3;;3
Apagar Progresso;;apagar_progresso
Cancelar;;cancelar
Level 5;;level_5
Identifique-se para começar;;identifique_se_para_comecar
Placeholder;;placeholder
← Voltar ao perfil;;voltar_ao_perfil
8;;8
Escolha um nível;;escolha_um_nivel
Ver Histórico;;ver_historico
PERFIS EXISTENTES;;perfis_existentes
MODO LIVRE - Explora a cidade;;modo_livre_explora_a_cidade
Ver histórico;;ver_historico
SIMULADOR DE CADEIRA DE RODAS;;simulador_de_cadeira_de_rodas
Level 8;;level_8
ACESSO AO SISTEMA;;acesso_ao_sistema
PERFIS;;perfis
Entrar / Criar Perfil;;entrar_criar_perfil
Consultar histórico;;consultar_historico
Level 1;;level_1
← Voltar;;voltar
Seleciona o perfil para consultar;;seleciona_o_perfil_para_consul
REINICIAR;;reiniciar
MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
!;;
Deslizes: 0;;deslizes_0
|;;
Colisões: 0;;colisoes_0
00:00;;0000
MENU PRINCIPAL;;menu_principal
CONTINUAR;;continuar
PAUSA;;pausa
PRÓXIMO;;proximo
REPETIR;;repetir
01:00;;0100
DESLIZES;;deslizes
COLISÕES;;colisoes
TEMPO;;tempo
NÍVEL CONCLUÍDO;;nivel_concluido
00;;00
Mover/Recentrar;;moverrecentrar
Sample text;;sample_text
OLHA PARA TRÁS  E FAZ MARCHA-ATRÁS;;olha_para_tras_e_faz_marcha_at
v;;v
P/H;;ph
P/HLD;;phld
